 0.3678794412  0.3678794412  0.1839397206  0.0613132402  0.0153283100  0.0030656620  0.0005109437  0.0000729920  0.0000091240  0.0000010138  0.0000001014  0.0000000092  0.0000000008  0.0000000001  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000 
 0.1353352832  0.2706705665  0.2706705665  0.1804470443  0.0902235222  0.0360894089  0.0120298030  0.0034370866  0.0008592716  0.0001909493  0.0000381899  0.0000069436  0.0000011573  0.0000001780  0.0000000254  0.0000000034  0.0000000004  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000 
 0.0497870684  0.1493612051  0.2240418077  0.2240418077  0.1680313557  0.1008188134  0.0504094067  0.0216040315  0.0081015118  0.0027005039  0.0008101512  0.0002209503  0.0000552376  0.0000127471  0.0000027315  0.0000005463  0.0000001024  0.0000000181  0.0000000030  0.0000000005  0.0000000001  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000 
 0.0183156389  0.0732625556  0.1465251111  0.1953668148  0.1953668148  0.1562934519  0.1041956346  0.0595403626  0.0297701813  0.0132311917  0.0052924767  0.0019245370  0.0006415123  0.0001973884  0.0000563967  0.0000150391  0.0000037598  0.0000008847  0.0000001966  0.0000000414  0.0000000083  0.0000000016  0.0000000003  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000 
 0.0067379470  0.0336897350  0.0842243375  0.1403738958  0.1754673698  0.1754673698  0.1462228081  0.1044448630  0.0652780393  0.0362655774  0.0181327887  0.0082421767  0.0034342403  0.0013208616  0.0004717363  0.0001572454  0.0000491392  0.0000144527  0.0000040146  0.0000010565  0.0000002641  0.0000000629  0.0000000143  0.0000000031  0.0000000006  0.0000000001  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000 
 0.0024787522  0.0148725131  0.0446175392  0.0892350784  0.1338526175  0.1606231410  0.1606231410  0.1376769780  0.1032577335  0.0688384890  0.0413030934  0.0225289600  0.0112644800  0.0051989908  0.0022281389  0.0008912556  0.0003342208  0.0001179603  0.0000393201  0.0000124169  0.0000037251  0.0000010643  0.0000002903  0.0000000757  0.0000000189  0.0000000045  0.0000000010  0.0000000002  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000 
 0.0009118820  0.0063831738  0.0223411082  0.0521292524  0.0912261916  0.1277166683  0.1490027797  0.1490027797  0.1303774322  0.1014046695  0.0709832687  0.0451711710  0.0263498497  0.0141883806  0.0070941903  0.0033106221  0.0014483972  0.0005963988  0.0002319329  0.0000854490  0.0000299071  0.0000099690  0.0000031720  0.0000009654  0.0000002816  0.0000000788  0.0000000212  0.0000000055  0.0000000014  0.0000000003  0.0000000001  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000 
 0.0003354626  0.0026837010  0.0107348041  0.0286261442  0.0572522885  0.0916036616  0.1221382155  0.1395865320  0.1395865320  0.1240769173  0.0992615338  0.0721902064  0.0481268043  0.0296164949  0.0169237114  0.0090259794  0.0045129897  0.0021237599  0.0009438933  0.0003974287  0.0001589715  0.0000605606  0.0000220220  0.0000076598  0.0000025533  0.0000008170  0.0000002514  0.0000000745  0.0000000213  0.0000000059  0.0000000016  0.0000000004  0.0000000001  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000 
 0.0001234098  0.0011106882  0.0049980971  0.0149942912  0.0337371552  0.0607268793  0.0910903190  0.1171161245  0.1317556400  0.1317556400  0.1185800760  0.0970200622  0.0727650466  0.0503758015  0.0323844438  0.0194306663  0.0109297498  0.0057863381  0.0028931691  0.0013704485  0.0006167018  0.0002643008  0.0001081230  0.0000423090  0.0000158659  0.0000057117  0.0000019771  0.0000006590  0.0000002118  0.0000000657  0.0000000197  0.0000000057  0.0000000016  0.0000000004  0.0000000001  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000 
 0.0000453999  0.0004539993  0.0022699965  0.0075666550  0.0189166374  0.0378332748  0.0630554580  0.0900792257  0.1125990321  0.1251100357  0.1251100357  0.1137363961  0.0947803301  0.0729079462  0.0520771044  0.0347180696  0.0216987935  0.0127639962  0.0070911090  0.0037321626  0.0018660813  0.0008886101  0.0004039137  0.0001756147  0.0000731728  0.0000292691  0.0000112573  0.0000041694  0.0000014891  0.0000005135  0.0000001712  0.0000000552  0.0000000173  0.0000000052  0.0000000015  0.0000000004  0.0000000001  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000  0.0000000000 
