1 0.100000
2 0.090000
3 0.081000
4 0.072900
5 0.065610
6 0.059049
7 0.053144
8 0.047830
9 0.043047
10 0.038742
11 0.034868
12 0.031381
13 0.028243
14 0.025419
15 0.022877
16 0.020589
17 0.018530
18 0.016677
19 0.015009
20 0.013509
21 0.012158
22 0.010942
23 0.009848
24 0.008863
25 0.007977
26 0.007179
27 0.006461
28 0.005815
29 0.005233
30 0.004710
31 0.004239
32 0.003815
33 0.003434
34 0.003090
35 0.002781
36 0.002503
37 0.002253
38 0.002028
39 0.001825
40 0.001642
41 0.001478
42 0.001330
43 0.001197
44 0.001078
45 0.000970
46 0.000873
47 0.000786
48 0.000707
49 0.000636
